max_nodes,center_multiplier,epsilon_in_units_1e_minus6,source_page,source_table
10,0.75,22.5,18,7
20,0.75,5.625,18,7
30,0.75,2.5,18,7
40,0.75,1.406,18,7
50,0.75,0.9,18,7
60,0.75,0.625,18,7
10,1,30,18,7
20,1,7.5,18,7
30,1,3.33,18,7
40,1,1.875,18,7
50,1,1.2,18,7
60,1,0.833,18,7
10,1.5,45,18,7
20,1.5,11.25,18,7
30,1.5,5,18,7
40,1.5,2.813,18,7
50,1.5,1.8,18,7
60,1.5,1.25,18,7
